english,klingon
The satellite is in orbit around the moon.,DaH maS bavtaH SIbDoH.
Can you speak English?,DIvI' Hol DajatlhlaH'a'?
What is the easiest way to learn English?,nuq 'oH DIvI' Hol ghojmeH mIw ngeDqu''e'?
Those who learn English cannot do without English dictionaries.,DIvI' Hol mu'ghommey HutlhlaHbe' DIvI' Hol ghojwI'.
Do you have an English dictionary?,DIvI' Hol mu'ghom Daghaj'a'?
I like English best.,DIvI' Hol vIparHa'qu'.
He can speak either English or French.,DIvI' Hol vIraS Hol ghap jatlhlaH.
The clouds hid the sun.,jul luSo' 'engmey.
A cloud passed across the moon.,maS tlhopDaq juSpu' 'eng.
Exercise trains the muscles.,bImI'chugh Somrawmey DaqeqmoH.
Passengers shall not converse with the driver while the bus is in motion.,"vIHtaHvIS lupwI', chIjwI'vaD jatlhbe' raQpo'pu' net poQ."
The car crashed because the driver was careless.,ngeQpu' puH Duj yepHa'pu'mo' chIjwI'.
He managed to pass his driving test even though he was a poor driver.,chIjwI' po'Ha' ghaH 'ach chIjwI' chaw' qaD Qapta'.
You should concentrate on the road when you're driving.,bIchIjtaHvIS He DabuSnIS.
"It's a rainy day, so we can't play outside.","DaHjaj SIS, vaj HurDaq mareHlaHbe'."
The rain lasted a week.,qaStaHvIS wa' Hogh SIStaH.
The rain prevented him from coming here.,naDev jaHlaHbe' SIStaHmo'.
It's beginning to rain. Please share my umbrella.,SISchoH. SIS yoDwIj bIng yIghoSneS!
It's raining hard and yet I must go.,"SISqu', 'ach jIjaHnIS."
I wish the rain would stop.,SIS rIn 'e' vIneH.
The space ship will get to the moon soon.,tugh maS paw Duj.
The room started to spin after I drank too much.,tlhoy HIq vItlhutlhpu'DI' DIngchoH pa'.
Gravity binds the planets to the sun.,julDaq yuQmey bagh tlham.
"Generally speaking, men are taller than women.",motlh loDpu' woch law' be'pu' woch puS.
"Generally speaking, Westerners don't eat fish raw.",motlh ghotI' tlhol Sopbe' 'evnganpu'.
"Boys, as a rule, are taller than girls.",roD loDHom woch law' be'Hom woch puS.
Would you join me in a drink?,jItlhutlhDI' chotlhejqang'a'?
Are you sure you've never met him?,not DaqIHpu'bej'a'?
Don't attempt two projects at a time.,cha' lojmIt quq tInIDQo'.
What on earth are you doing here?,qatlh naDev SoHtaH jay'?
What the hell are you going to do with it?,chay' Dalo' jay'?
He worked hard.,pe'vIl vum.
"One murder makes a villain, millions a hero.","jIvvo' moj wa' chotta'bogh nuv'e', Sub moj wa''uy' chotta'bogh nuv'e'."
"A passenger fainted, but the stewardess brought him round.","vulchoHpu' raQpo', 'ach vulHa'choHmoHta' wa' beq."
I don't want to go alone.,nIteb jIjaH vIneHbe'.
Did you come here alone?,nIteb naDev DaghoS'a'?
I would like to go with you.,qatlhej vIneH.
Would you like to go see a movie with me?,nItebHa' HaSta much wIbejtaH DaneH'a'?
I was in the hospital for a week.,qaStaHvIS wa' Hogh ropyaH qachDaq jIHtaH.
I'll be back within an hour.,qaSpa' wa' rep jIcheghpu'.
I met her by chance on the train the day before yesterday.,bong cha'Hu' lupwI' mIrDaq vIghompu'.
The leader of the party is a famous scientist.,tej noy ghaH ghom DevwI''e'.
Let me give you a piece of advice.,qaqeS yIchaw'!
I want to sing a song.,bom vIbom vIneH.
This carpet is one of the most beautiful.,tlhImvam 'IH law' HochHom 'IH puS.
The doctor sat up all night with the sick old man.,qaStaHvIS ram naQ Qongbe' Qel 'ej ropbogh loD qan tlhej.
The doctor gave it to her.,ghaHvaD 'oH nobta' Qel.
The doctor cured him of his illness.,ropHa'moHta' Qel.
The doctor advised him to keep away from drinking.,chechQo' 'e' chup Qel.
The doctor had me lying in bed.,QongDaqDaq muQotmoHta' Qel.
The doctor can cure your son of the disease.,puqloDlI' rop vorlaH Qel.
The doctor will be back before long.,tugh chegh Qel.
The doctor came immediately.,SIbI' pawchoHpu' Qel.
A doctor's instruments must be kept absolutely clean.,Qel janmey luSay'moHlu'chu' net poQ.
You need to see a doctor.,Qel DaghomnIS.
Could you give me the name and phone number of a doctor?,jIHvaD Qel ghogh HablI' mI' DaperlaH'a'?
My stomach hurts.,'oy'taH burghwIj.
My stomach is rumbling.,bor burghwIj.
She is unconscious.,vul.
"Not having seen him before, I'll not be able to recognize him.","wej ghaH vIqIHmo', vIghovlaHbe'."
"Show me the way, will you?","He HI'ang, DuH'a'?"
Fear often exaggerates danger.,Hajlu'chugh pIj Qob lach.
Don't walk alone after dark.,"HurghchoHpu'DI' chal, nIteb yIyItQo'!"
She switched on the lamp because it was dark.,HurghtaHmo' wovmoHwI' chu'.
Easy living corrupted the warrior spirit.,SuvwI' qa' qalmoHpu' yIn ngeD.
I got sick.,jIropchoHpu'.
You won't regret it.,Dapaybe'.
Is there a problem?,qay''a' vay'?
We should respect the old.,qanwI'pu' DIvuvjaj.
We live in a civilized society.,nugh tay wIDab.
We defeated the enemy.,jagh wIjeyta'.
We've made a final decision.,mawIv rIntaH.
We have yet to learn the truth.,wej vIt wIghojpu'.
I couldn't recognize him at first.,wa'DIch vIghovlaHbe'pu'.
I like pizza very much.,pItSa' chab vIparHa'qu'.
I prefer coffee to tea.,"Dargh qa'vIn je vIqelDI', qa'vIn vImaS."
I always walk to school.,DuSaQ vIghoSDI' reH jIyIt.
Our country is in a crisis.,Seng ghaj Sepmaj.
Our army attacked the enemy during the night.,qaStaHvIS ram jagh HIvta' mangghommaj.
Our troops engaged with the enemy.,jagh HIvta' QaSmaj.
Our team lost.,luj ghommaj.
Our army attacked the kingdom.,wo' HIvpu' mangghommaj.
"Romeo, believing that Juliet was dead, decided to kill himself.",Heghpu' julyet 'e' Har romIyo' 'ej vaj HoH'egh 'e' wuq.
Robots can withstand dangerous conditions.,ghu' Qob SIQlaH qoq.
I hear Robert is sick.,rop rabe'rIt 'e' vIQoy.
Robert tends to talk big.,pIj bo'Dagh'a' lo' rabe'rIt.
Russian is very difficult to learn.,Qatlh raSya' Hol ghojmeH Qu'.
I want a knife with which to cut the rope.,tlhegh vIpe'meH taj vIneH.
"If you add lemon, it will become sour.","tera' na'ran wIb Dachelchugh, wIbchoH."
The lemon is a sour fruit.,naH wIb 'oH tera' na'ran wIb.
Lemon is sour.,wIb tera' na'ran wIb.
The lemon has a flavor all of its own.,tera' na'ran wIb wejwa' ghaj tera' na'ran wIb neH.
"A tea with lemon, please.",tera' na'ran wIb vIychorgh ngaSbogh Dargh vIneH.
Lucy cannot use chopsticks.,Soj naQmey lo'laHbe' lu'SI'.
Apples grow on trees.,SormeyDaq taH 'epIl naHmey.
The apples are not quite ripe.,wej DeHchoHpu' 'epIl naHmeyvam 'ach tugh.
"Which do you prefer, apples or bananas?","banan naHmey 'epIl naHmey je DaqelDI', nuq DamaS?"
The apple fell from the tree.,Sorvo' pum 'epIl naH.
The apples are ripe.,DeH 'epIl naHmeyvam.
An apple fell off the tree.,Sorvo' pumpu' wa' 'epIl naH.
Where can I find a shuttle bus?,nuqDaq lupDujHom vISamlaH?
Put down your name on the list and pass it on to the next person.,tetlhDaq ponglIj yIghItlh 'ej nuv vebvaD yInob.
I added his name to the list.,tetlhDaq pongDaj vIchelta'.
Rika had a good time singing at the party.,qaStaHvIS lopno' bom 'e' tIv rIqa'.
I'm listening to the radio.,Se' HablI' jI'IjtaH.
I have to change the batteries in the radio.,wab HevwI' 'ul 'aplo'mey vItamnIS.
We listened to his lecture on the radio.,SoQDaj wIQoymeH wab HablI' wIlo'ta'.
I often see him.,pIj vIghom.
The pencil which writes well is mine.,ghojmeH ghItlhwI'wIj 'oH Qapchu'bogh ghojmeH ghItlhwI''e'.
I feel depressed often.,pIj jI'It.
I sneeze a lot.,pIj jIchuy.
Good. No absentees.,maj. Dach pagh.
It is finally all over. Now we can relax.,tagha' rInpu'. DaH maleSlaH.
Sweet dreams!,bInajtaHvIs qeylIS Daghomjaj!
Have a nice day.,vaQjaj jaj!
Yumiko was a little angry.,loQ QeHtaH yu'mIy'qo'.
He stabbed me in the back!,DubwIjDaq muDuQta'!
The rain stopped at last.,tagha' SISbe'choH.
You'll succeed if you try.,bInIDchugh bIQap.
I found it easy when I gave it a try.,ngeD 'e' vItu' jInIDDI'.
"If you don't get more exercise, you'll get fat.",pIjHa' bImI'chugh bIpI'choH.
"If we had wings, could we fly to the moon?",telDu' DIghajchugh maSDaq mapuvlaH'a'?
What would you do if you saw a ghost?,chay' bIvang lomqa' Daleghchugh?
"In case you sleep, set the alarm.","bIQongchugh, vemmoHwI' yIchu'."
"If you are tired, go to bed.",bIDoy'chugh yIQong.
We will help him if he asks us.,nughelchugh wIQaH.
"If anyone comes to see me, tell him that I am out.","mughom neHchugh vay' vaj yIja', naDev ghaHbe'taH."
"If the sun were to go out, all living things would die.","wovHa'choHchugh jul, Hegh Hoch yInwI'mey."
"If the sun were to stop shining, all living things would die.","wov 'e' mevchugh jul, Hegh yIntaHbogh Hoch."
"In case anything happens, call me immediately.",qaSchugh vay' SIbI' HIrI'!
"In case anything happens, call me immediately.","qaSpu'chugh vay', SIbI' HIrI'."
"If you want a pencil, I'll lend you one.","ghojmeH ghItlhwI' DaneHchugh, SoHvaD wa' vInoj."
"If I were to be reborn, I would like to be a bird.",jIboghqa'laHchugh bo'Degh vImoj vIneH.
"If you don't have money, you have to do without.","Huch Daghajchugh, Huch DawuvHa'nIS."
Have you read the book yet?,paqvetlh DalaDta''a'?
It's OK now. Don't worry. You can depend on me one hundred percent.,DaH QaQ. rejmorgh yIghaHQo'! chowuvchu'laH.
I can't wait any more.,jIloSlaHbe'choH.
Put some more wood on the fire.,qulDaq Sor Hap law' yIlan!
Why don't you stay a little while?,qatlh loQ bIratlhbe'?
I weep for my lost youth.,"naH jajmey vIchIlpu', vaj jISaQ."
I must leave now.,DaH jImejnIS.
I must leave now.,DaH jItlheDnIS.
"No, thank you.","Qo', qatlho'."
May I go home now?,DaH juH vIchegh net chaw''a'?
Let's turn and go back now.,DaH matlhe'jaj; ghIq macheghjaj!
Try it once again.,yInIDqa'!
Do it again!,yIruchqa'!
Please show me another one.,latlh HI'aghneS!
"I'll try again, thank you.",jInIDqa'. qatlho'.
"It's already September; however, it is very hot.","tera' jar Hut 'oH, 'ach tujqu' muD Dotlh."
Try again.,yInIDqa'!
Mary aided her mother in cooking.,vutmeH SoSDaj boQ me'rIy'.
Mary can dance well.,mI'laHchu' *Mary.
It hardly ever rains here.,tlhoS not naDev SIS.
"Mary likes Japan, doesn't she?",nIpon parHa' me'rIy' qar'a'?
Mary is respected by everyone.,me'rIy vuv Hoch.
I would prefer an honorable death.,batlh jIHegh 'e' vImaS.
All were silent.,tamtaH Hoch.
We all have missed you.,bIDachtaHmo' ma'IQpu' Hoch maH.
I don't like any of them.,pagh vIparHa'.
Everybody started waving his flag.,joqwI'meychaj joqchoHmoH Hoch.
Let's pretend we are aliens.,novpu' maH 'e' wIghetjaj!
Everybody laughed at his error.,QaghDajmo' Hagh Hoch.
Get me a glass of milk.,nIm HIvje' HIqem!
Where is the milk tea?,nuqDaq 'oH nIm ngaSbogh Dargh'e'?
The milk went sour.,wIbchoHpu' nIm.
We should respect our parents.,SoSpu'ma' vavpu'ma' je DIvuvjaj.
"Unable to bear her miseries, she ran away from her husband.","SengmeyDaj SIQQo'mo', loDnalDajvo' narghta'."
Maria knew neither his name nor his phone number.,"pongDaj, ghogh HablI'Daj mI' joq Sovbe' ma'rIya'."
Dinner will be ready soon.,tugh 'uQ vutlu'chu'.
It is going to rain soon.,tugh SIS.
You helped Mommy?,SoSoy DaQaHta''a' SoH?
Do you have a match?,qul naQ vIghaj'a'?
I don't know yet.,wej vISov.
I haven't eaten lunch yet.,wej megh vISop.
"I haven't decided yet, but I prefer flying to going by train.",jIwuqta'be' 'ach muD Duj vIlIgh 'e' vImaS. lupwI' mIr vIlIgh 'e' vImaSbe'.
Haven't you decided yet?,wej bIwuqpu''a'?
Is it still raining?,SIStaH qar'a'?
"If you're still hungry, have another hamburger.",bIghungtaHchugh latlh Ha'DIbaH ghIH tIr ngogh je tISop!
Marry first and love will follow.,wa'DIch yInay 'ej tlha' parmaq.
Marry first and love will follow.,wa'DIch yISaw 'ej tlha' parmaq.
Michael broke the dishes.,ngop ghor mayqel.
Mike got back from the library at five.,paq qachvo' cheghDI' maq wa'maH Sochlogh Qoylu'pu'.
What a cute baby! May I hold her?,'IHqu' ghu! vI'uch 'e' Dachaw''a'?
Only a few people listened to him.,luQoy ghotpu' puS neH.
Take a taxi to the hotel.,mebpa'mey DapawmeH ra'wI' lupwI' yIrIt!
It was dark when I reached the hotel.,mebpa'mey vIpawDI' Hurgh.
I succeeded in getting what I wanted.,vay' vIneHbogh vISuqta'.
I think death is preferable to shame.,Hegh qaq law' tuHtaHghach qaq puS 'e' vIQub.
I know only this.,'oH neH vISov.
I prefer tea to coffee.,"Dargh qa'vIn je vIqelDI', Dargh vImaS."
I'm in need of money.,Huch vIpoQ.
My watch stopped working.,Duy'choHpu' tlhaqwIj.
My pen isn't as good as yours.,ghItlhwI'lIj QaQ law' ghItlhwI'wIj QaQ puS.
"Me, I prefer coffee to tea.","Dargh qa'vIn je vIqelDI', qa'vIn vImaS jIH'e'."
Was anybody else absent?,DachtaH'a' latlh?
Paul prefers English to math.,"DIvI' Hol, mI' QeD je qelDI', DIvI' Hol maS pal."
There was a large crowd in the hall.,vaSDaq qev tIn tu'lu'taH.
There was a small audience in the hall.,vaSDaq 'IjwI'pu' puS tu'lu'.
Would you lend me your pen?,ghItlhwI'lIj chonojqang'a'?
Pass me the pen.,ghItlhwI' HInob!
Please write with a pen.,bIghItlhmeH ghItlhwI' yIlo'neS!
Betty killed her mother.,SoSDaj HoHta' be'tIy.
Betty killed her mother.,SoSDaj HoH be'tIy'.
"Betty is a pretty girl, isn't she?",be'Hom 'IH ghaH be'tIy''e' qar'a'?
Two sheets were on the bed.,QongDaqDaq cha' tlhImmey tu'lu'.
"Fred tried to get to the door, but the table was in the way.","lojmIt SIch nID vI'reD, 'ach botpu' raS."
French is spoken by many.,vIraS Hol'e' jatlh qabDu' law'.
"I like grapes, but I can't eat so many.",ghIrep naHmey vIparHa' 'ach ghIrep naHmey law' vISoplaHbe'.
The grapes are getting mature.,DaH DeHchoHlI' ghIrep naHmey.
Bush followed Reagan as president.,"che'wI' ghaHpu'DI' reyghen'e', che'wI' mojta' buS."
There is a fork missing.,Hutlh puq chonnaQ.
I would like to purchase some boots.,DaS vIje' vIneH.
Bill joined our company three years ago.,wej ben weymaj muv bIl.
Bill lives near the sea.,bIQDaq Sum bIl juH.
Bill will often sing in the toilet.,pIj puchpa'Daq bom bIl.
There is a car in front of the building.,qach tlhopDaq puH Duj tu'lu'.
Possibly he knows who broke the windows.,chaq Qorwaghmey ghorpu'bogh nuv'e' ngu'laH.
A woman fell from a ship into the sea.,Dujvo' bIQ'a'Daq pumpu' be'.
You should have told me that you wanted me to come alone.,nIteb qaghoS DaneH 'e' muja'pu'nIS.
The teacher told me that Hitler killed himself.,muja' ghojmoHwI'; jatlh HoH'eghta' HItlher.
Peter is a merry fellow.,loD Quch ghaH pIter'e'.
Where is Paris?,nuqDaq 'oH vIraS mon'e'?
I read an exciting story.,SeymoHbogh lut vIlaDta'.
"Where are you going, Dad?",nuqDaq DajaHlI' vav?
The battery gave out.,'ul 'aplo' natlhlu'pu'.
Please open your bag.,buqlIj yIpoSmoH!
Give it to me straight.,HIja' 'ej yIpIQ!
Speak up!,pe'vIl yIjatlh!
I have my passport.,leng chaw'wIj vIghaj.
I lost my passport. I'll have to get a new one.,leng chaw'wIj vIchIlpu'. leng chaw' chu' vISuqnIS.
I prefer going on foot to going by bus.,jIyIt 'e' vImaS. lupwI' vIlIgh 'e' vImaSbe'.
"In the bus, a boy made room for an old woman.",lupwI'Daq be' qan botHa' loDHom.
Nobody but a fool would believe it.,'oH Har qoH neH.
You can hear the water dripping from the pipe.,'ochvo' chaghtaH bIQ 'e' DaQoylaH.
Don't bring any money to the party; just bring yourself.,'uQ'a'Daq Huch yItlhapQo'! yItlhap'egh neH!
I'm wheezing.,jItlhovtaH.
I'm wheezing.,jIjevtaH.
"Let's dance, my darling.",Ha' bang! mamI'!
Garlic enhances the flavor of meals.,nay'mey wejwa' Dub gharlIq 'oQqar.
Down came a shower of rain.,SISqu'choH.
Nick is by no means satisfied with the reward.,nIq yonmoHbe'bej pop'e'.
Nick can speak Portuguese very well. That's because he's been studying it for 5 years.,"portughal Hol jatlhwI' po' ghaH nIq'e', HaDtaHmo' qaStaHvIS vagh DIS."
What a big dog that is!,Ha'DIbaH'a' 'oH!
Your house is fantastic.,qu' juHlIj.
What?,nuq?
What a haughty fellow he is!,'eDjenna' ghaH!
This dish is terrific.,nIv nay'vam.
This soup is exquisite.,'eyqu' chatlhvam.
What a good shot!,pupqu' bach!
What a good shot!,QaQqu' matHa'!
Nancy looks like my sister.,be'nI'wI' rur nenSIy.
Nancy is having a chat with her friends.,jawchuqtaH nenSIy juppu'Daj je.
Nancy is the tallest girl in her class.,"*Nancy DuSaQ ghom nuvpu' DIqelDI', *Nancy woch law' Hoch woch puS."
The soup in the pot tasted very salty.,na'qu' chatlh'e' ngaSbogh 'un.
I have no idea why she got so angry.,ghaH QeHmoHbogh meq'e' vISovbe'.
Tell me why he was absent.,HIja'! qatlh DachtaH ghaH?
Do you know why the sky is blue?,qatlh SuD chal? bISov'a'?
Why did you quit?,qatlh bIbupta'?
Why?,qatlh?
For love is something you can't reject.,parmaq lajHa'laHmo' pagh.
Why do you study?,qatlh bIHaD?
Why didn't you believe me?,qatlh choHarbe'pu'?
Why didn't you believe me?,qatlh tuHarbe'pu'?
What are you punishing them for?,nuqmo' boHuptaH?
Why are you visiting the United Kingdom?,qatlh wo' tay' DaSuch?
"Well, I loved it.","toH, vImuSHa' jIH."
Please lend me your knife.,jIHvaD tajlIj yInojneS!
Will you lend me your knife?,tajlIj chonoj'a'?
You should be careful with a knife.,taj Dalo'DI' bIyepnIS.
What kind of wine do you recommend?,HIq Segh vIchupbogh yIngu'!
Take steady aim at the tiger.,tlhIghaqDaq vI' yIDub!
Tom likes to knit.,nIq 'e' tIv tam.
Tom is the tallest in his class.,"*Tom DuSaQ ghom nuvpu' DIqelDI', *Tom woch law' Hoch woch puS."
Tom ate vegetable soup this morning.,DaHjaj po naH chatlh Sopta' tam.
Tom is by no means unintelligent. He is just lazy.,QIpbe'bej tam. buD neH.
Tom is absent.,DachtaH tam'e'.
Tom can speak German as well as English.,DoyIchlan Hol DIvI' Hol je jatlhlaH tam.
Tom is still hospitalized.,wej ropyaH qach mejpu' tam.
Tom likes cheese.,nIm wIb ngogh parHa' tam.
Tom is a man of absolute sincerity.,'Ilchu'bogh loD ghaH tam'e'.
Tom likes tea better than coffee.,Dargh maS tam; qa'vIn maSbe'.
Tom has bought a house which has six rooms.,jav pa'mey ghajbogh juH qach'e' je'ta' tam.
I'll have tomato and onion.,"tomat naH, 'anyan 'oQqar je vIneH."
What train goes to the center of town?,veng botlh ghoSbogh lupwI' mIr'e' yIngu'!
Is Tony there?,pa' ghaHtaH'a' to'nIy'e'?
Tony was happy.,Quch to'nIy'.
It was so hot that I got into the shade and took a rest.,jItujqu'mo' QIb vISam 'ej pa' jIleS.
It was really cheap.,qutlhqu'.
I'm as hungry as a bear.,jIghuntaH; mIl'oD vIrurtaH.
Where would you like to go?,nuqDaq bIyIt DaneH?
Where are you staying?,nuq DaDabtaH?
Choose whichever you want.,wa' DaneHbogh yIwIv.
Which side won?,Qapta'bogh Dop yIngu'!
Which is mine?,DochwIj yIngu'!
It rains in some places.,'op DaqDaq SIS.
But the earth's magnetic field is very weak.,'ach pujqu' tera' peQ chem.
Where can I park?,nuqDaq puH Duj vIverghlaH?
Can you come?,naDev bIghoSlaH'a'?
Can you come?,naDev SughoSlaH'a'?
A fierce dog attacked the girl.,be'Hom HIvpu' Ha'DIbaH qu'.
Every means has failed.,lujpu' Hoch mIw.
This is hardly the time to start a new enterprise.,jInmol chu' taghlu'meH QaQbe'bej poHvam.
I'm afraid it will rain tomorrow.,wa'leS SIS 'e' vIHaj.
"Evidently, it's going to rain tomorrow.",wa'leS SISbej.
It looks as if you're right.,Sulughlaw'.
How do you make a box?,chay' 'aplo' chenmoHlu'?
How can I pick out fresh fish?,chay' ghotI' ghoQ vIngu'laH?
I'm sorry.,jIQoS.
Finally they gave in to their enemy.,tagha' jaghchajvaD jeghpu' chaH.
Please step inside.,yI'el!
Please come in one by one.,ngIq pe'elneS!
Go ahead.,yIruch!
Please get a lot of pencils.,ghojmeH ghItlhwI' law' tIqem!
"If you learn English at all, learn it thoroughly.",DIvI' Hol Daghojchugh yIghojchu'!
Why did you run away?,qatlh bIHaw'ta'?
Why are you under the desk?,qatlh raS bIngDaq SoHtaH?
Why did you come home so late?,qatlh bIpaS juH DacheghDI'?
I can't for the life of me remember her phone number.,ghogh HablI'Daj vIqawbe'chu'taH jay'.
I do want to go to Italy.,'Italya' vIjaH vIneHbe'.
